"club_id","draw","goals_conceded","goals_scored","league_standing","loss","plus_minus","Points","season","team_link","team_name","total_matches","wins"
148,7,33,92,"3",6,59,87,"2017","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2017","Spurs",40,27
985,5,26,68,"4",14,42,77,"2017","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2017","Man Utd",40,21
11,11,51,76,"5",7,25,76,"2017","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2017","Arsenal",41,23
31,6,45,80,"6",14,35,74,"2017","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2017","Liverpool",40,20
29,13,53,62,"7",10,9,61,"2017","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2017","Everton",40,17
1132,15,43,36,"8",12,-7,51,"2017","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2017","Burnley",40,13
1003,17,64,55,"9",9,-9,51,"2017","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2017","Leicester",40,14
2288,21,58,37,"10",6,-21,45,"2017","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2017","Swansea",40,13
873,21,62,39,"11",8,-23,44,"2017","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2017","Crystal Palace",41,12
1010,22,75,48,"12",7,-27,43,"2017","https://www.transfermarkt.com/fc-watford/spielplan/verein/1010/saison_id/2017","Watford",41,12
512,19,70,42,"13",10,-28,43,"2017","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2017","Stoke City",40,11
180,18,56,42,"14",12,-14,42,"2017","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2017","Southampton",40,10
989,18,68,49,"15",12,-19,42,"2017","https://www.transfermarkt.com/afc-bournemouth/spielplan/verein/989/saison_id/2017","Bournemouth",40,10
379,18,69,46,"16",11,-23,41,"2017","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2017","West Ham",39,10
984,19,56,33,"17",14,-23,35,"2017","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2017","West Brom",40,7
1110,9,32,18,"18",6,-14,24,"2017","https://www.transfermarkt.com/huddersfield-town/spielplan/verein/1110/saison_id/2017","Huddersfield",21,6
1237,9,25,15,"19",7,-10,22,"2017","https://www.transfermarkt.com/brighton-amp-hove-albion/spielplan/verein/1237/saison_id/2017","Brighton",21,5
3008,10,39,21,"20",3,-18,21,"2017","https://www.transfermarkt.com/hull-city/spielplan/verein/3008/saison_id/2017","Hull City",19,6
762,12,30,19,"21",4,-11,19,"2017","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2017","Newcastle",21,5
641,11,31,10,"22",7,-21,10,"2017","https://www.transfermarkt.com/fc-middlesbrough/spielplan/verein/641/saison_id/2017","Middlesbrough",19,1
289,13,34,12,"23",4,-22,10,"2017","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2017","Sunderland",19,2
