"away_score","away_team","club_id","club_name","coach","competition_name","home_score","home_team","match_date","match_result_link","match_time","match_type","play_style","result","season"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Wigan","30-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332897","8:45 PM","10","4-2-3-1","0:0 ","2013"
0,"Barnsley FC",1039,"QPR","Harry Redknapp","Championship",2,"QPR","05-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332890","4:00 PM","11","4-2-3-1","2:0 ","2013"
2,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Millwall","19-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333007","4:00 PM","12","4-2-3-1","2:2 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Burnley","26-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332990","4:00 PM","13","4-2-3-1","2:0 ","2013"
1,"Derby",1039,"QPR","Harry Redknapp","Championship",2,"QPR","02-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333316","4:00 PM","14","4-2-3-1","2:1 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Reading","09-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333244","1:15 PM","15","4-2-3-1","1:1 ","2013"
0,"Charlton",1039,"QPR","Harry Redknapp","Championship",1,"QPR","23-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333217","4:00 PM","16","4-2-3-1","1:0 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Doncaster","30-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333240","4:00 PM","17","4-2-3-1","2:1 ","2013"
0,"Bournemouth",1039,"QPR","Harry Redknapp","Championship",3,"QPR","03-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333076","8:45 PM","18","4-4-2","3:0 ","2013"
0,"Blackburn",1039,"QPR","Harry Redknapp","Championship",0,"QPR","07-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333087","4:00 PM","19","4-4-2","0:0 ","2013"
2,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Blackpool","14-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333012","4:00 PM","20","4-2-3-1","0:2 ","2013"
1,"Leicester",1039,"QPR","Harry Redknapp","Championship",0,"QPR","21-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333026","1:15 PM","21","4-2-3-1","0:1 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Nottm Forest","26-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333038","8:30 PM","22","4-2-3-1","2:0 ","2013"
